순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1,더 퍼스트 슬램덩크,2023-01-04,"44,558,519,739",16.3%,"44,616,297,739","4,324,571","4,330,206","1,060","208,521",일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,이노우에 다케히코,
2,아바타: 물의 길,2022-12-14,"47,291,134,162",17.3%,"137,587,973,364","3,487,834","10,800,983","2,047","129,793",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF,스릴러",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛"
3,스즈메의 문단속,2023-03-08,"34,212,674,348",12.5%,"34,212,674,348","3,288,584","3,288,584","1,572","125,711",일본,일본,,(주)쇼박스,12세이상관람가,애니메이션,신카이 마코토,
4,영웅,2022-12-21,"17,709,278,958",6.5%,"32,243,504,281","1,778,857","3,266,536","1,099","88,018",한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,12세이상관람가,"드라마,뮤지컬",윤제균,"정성화,김고은,나문희,조재윤,배정남,이현우,박진주,권라희,지웅배"
5,교섭,2023-01-18,"17,461,011,740",6.4%,"17,461,011,740","1,721,111","1,721,111","1,289","92,617",한국,한국,"(주)영화사수박,원테이크필름",플러스엠 엔터테인먼트,12세이상관람가,드라마,임순례,"도기범,황정민,현빈,강기영"
6,앤트맨과 와스프: 퀀텀매니아,2023-02-15,"16,345,457,606",6.0%,"16,345,457,606","1,550,998","1,550,998","2,090","104,735",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,페이튼 리드,"폴 러드,에반젤린 릴리,미셀 파이퍼,마이클 더글라스"
7,장화신은 고양이: 끝내주는 모험,2023-01-04,"7,868,777,269",2.9%,"7,925,094,269","830,776","836,554",924,"43,431",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,조엘 크로포드,"안토니오 반데라스,셀마 헤이엑,올리비아 콜맨,하비 길렌,샘슨 카요,와그너 모라,안토니 멘데즈,존 멀레이니,플로렌스 퓨,더바인 조이 랜돌프,레이 윈스톤"
8,대외비,2023-03-01,"7,447,291,199",2.7%,"7,447,291,199","753,499","753,499","1,157","53,444",한국,한국,"(주)트윈필름,(주)비에이엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,"범죄,드라마",이원태,"조진웅,이성민,김무열,원현준,김민재,유승목,김윤성,박세진,손여은,이상원,박정표,박상원,허지원,정기섭,박기선,한갑수,문정대,박상규,손성찬,엄옥란,박재원,양정인,곽진,이상협,권혁성,우수빈,김제형,김수환,문순주,최병윤,김성곤,박시완,최현도,여이레,정소리,윤도영,김진,문지영,허민아,김형명,이원진,정조준,최동구,이형원,김민준,이정우,유상재,양택호,이태일,김미현,임종훈,김탁,이유주,송용환,김가은,조영진,최민철"
9,유령,2023-01-18,"6,760,477,879",2.5%,"6,760,477,879","664,098","664,098","1,099","46,960",한국,한국,더램프(주),(주)씨제이이엔엠,15세이상관람가,액션,이해영,"설경구,이하늬,박소담,박해수,서현우,김동희,김중희,고인범,조하석,서진원,유경훈,박상훈,김명선,한우열,윤정섭,손경표,김영택,김형서,박가영,금새록,공대유,김혜옥,김종수,이솜,이주영"
10,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,"6,516,431,400",2.4%,"6,516,431,400","529,569","529,569",410,"20,300",일본,일본,,(주)디스테이션,15세이상관람가,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구"
11,타이타닉,1998-02-20,"6,528,961,730",2.4%,"11,436,767,230","454,336","883,847",447,"14,296",미국,미국,파라마운트 픽쳐스,"월트디즈니컴퍼니코리아 유한책임회사,씨네힐,이십세기폭스코리아(주)","15세 미만인 자는 관람할 수 없는 등급 ,15세이상관람가","드라마,멜로/로맨스,액션",제임스 카메론,"레오나르도 디카프리오,케이트 윈슬렛"
12,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"4,623,160,505",1.7%,"11,373,317,307","438,152","1,100,549",402,"24,154",일본,일본,,"(주)바이포엠스튜디오,홀리가든",12세이상관람가,멜로/로맨스,미키 타카히로,"미치에다 슌스케,후쿠모토 리코,후루카와 코토네,마츠모토 호노카"
13,서치 2,2023-02-22,"4,074,491,196",1.5%,"4,074,491,196","413,605","413,605",868,"36,887",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"미스터리,스릴러","니콜라스 D 존슨,윌 메릭","스톰 리드,켄 렁,다니엘 헤니,니아 롱"
14,스위치,2023-01-04,"3,793,820,810",1.4%,"4,014,409,694","399,162","422,310",912,"36,959",한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,기타,마대윤,"권상우,오정세,이민정,박소이,김준,김미경,김명선,이서환,차시원,성병숙,김승훈,윤대열,민태율,이가경,이세인,정형석,황병국,문정대,고기영,김용우,황사무엘,손석배,노경섭,이주한,백경선,김희정,이윤규,이현지,김진우,유재명,황승언,송영재,이지훈"
15,카운트,2023-02-22,"3,745,330,091",1.4%,"3,745,330,091","393,470","393,470",946,"37,061",한국,한국,"(주)필름케이,(주)26컴퍼니",(주)씨제이이엔엠,12세이상관람가,드라마,권혁재,"진선규,김지창,성유빈,고창석,오나라,장동주,고규필,한태경,김욱인,이종화,최형태,추정훈,태인호,차순배,이준혁,이홍내,우정원,한철우,전승재,이일화,박성근,김한종,이윤희,전승재"
16,상견니,2023-01-25,"3,585,923,938",1.3%,"3,585,923,938","359,262","359,262",699,"31,162",대만,대만,,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)",15세이상관람가,"드라마,판타지,멜로/로맨스",황천인,"가가연,허광한,시백우"
17,아임 히어로 더 파이널,2023-03-01,"5,657,795,500",2.1%,"5,657,795,500","234,102","234,102",146,"7,613",한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,"공연,다큐멘터리",오윤동,임영웅
18,웅남이,2023-03-22,"2,103,958,816",0.8%,"2,103,958,816","231,631","231,631",829,"24,788",한국,한국,(주)영화사김치,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"코미디,액션",박성광,"박성웅,최민수,오달수,염혜란,윤제문,이이경,백지혜,서동원,한다솔,정우성,안일권,김기천,변진수,최선자,양주호,곽민호,장덕출,김광식,김종구,노기홍,정규석,정기욱,고덕원,이서율,박강토,양동혁,오지영,설도희,김미성,이광훈,허진성,이성하,정현옥,전지학,유병선,김인석,이얀,하회정,한상경,전재현,강준규,김대근,곽기훈,문웅기,류한종,이민교,양해준,박건주,소계원,장두경,송인준,인선호,문기환,정우철,장효준,정유동,노일환,홍기주,서현우"
19,메간,2023-01-25,"2,331,686,898",0.9%,"2,331,686,898","230,874","230,874",704,"21,067",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러,코미디",제라드 존스톤,"앨리슨 윌리암스,바이올렛 맥그로우"
20,바빌론,2023-02-01,"2,107,289,409",0.8%,"2,107,289,409","209,876","209,876",852,"21,401",미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,데이미언 셔젤,"브래드 피트,마고 로비,디에고 칼바,진 스마트,조반 아데포,리 준 리,토비 맥과이어"
21,소울메이트,2023-03-15,"1,981,732,434",0.7%,"1,981,732,434","204,122","204,122",749,"25,306",한국,한국,"클라이맥스 스튜디오(주),(주)앤드마크,(주)스튜디오앤뉴,(주)키이스트",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,민용근,"김다미,전소니,변우석,장혜진,박충선,허지나,류지안,강말금,현봉식,이현균,오민애,정수지,김정현,박지연,박진수,이석형,박경은,박찬우,임영주,조대희,어성욱,김동인,안현정,박정환,임정균,리우진,김나윤,채윤희,조수연,김미소,김남규,이종훈,곽진석,우정환,황우상,이광호,신치영,최교식,이강진,김기정,나규비,김환영,황자능,이정철,석예린,이류경,원서영,황지선,오채은,강민지,김동원,박성연,김새벽,이유진,김경애"
22,멍뭉이,2023-03-01,"1,672,858,392",0.6%,"1,672,858,392","178,067","178,067",649,"15,083",한국,한국,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",(주)키다리스튜디오,전체관람가,드라마,김주환,"유연석,차태현"
23,마루이 비디오,2023-02-22,"1,704,236,500",0.6%,"1,704,236,500","165,759","165,759",284,"8,918",한국,한국,"(주)발포플랜,(주)브라더픽처스","씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",15세이상관람가,"미스터리,공포(호러)",윤준형,"서현우,조민경,임한성,안현빈,안민영,장세원,김승비,이옥봉,이익수,김학준,김우진,윤효진,황연희,나종기,김진혁,박은홍,서성광,이새로미,곽민준,황기석,허종오,이정철,황대중,안재만,김종대,백인우,강민지"
24,두다다쿵: 후후섬의 비밀,2023-02-15,"1,116,887,333",0.4%,"1,116,887,333","123,910","123,910",514,"8,432",한국,한국,아이스크림 스튜디오(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"최병선,김지윤",
25,어메이징 모리스,2023-02-15,"963,712,560",0.4%,"963,712,560","109,245","109,245",559,"7,726",독일,독일,,(주)블루라벨픽쳐스,전체관람가,"애니메이션,판타지,어드벤처",토비 젠켈,"휴 로리,에밀리아 클라크,데이빗 듈리스,히메쉬 파텔,정재헌,박지윤,오인성,김현욱,장미,홍진욱,정의한,이규창,김사라"
26,캐리와 슈퍼콜라,2023-01-18,"1,004,792,719",0.4%,"1,008,785,719","108,487","108,782",474,"6,529",한국,한국,(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,이춘백","최정윤,엄상현,이다은,원옥화,정주원,이창민,한상태,김지정,강나후,김신비,소경호"
27,다음 소희,2023-02-08,"1,029,567,271",0.4%,"1,029,567,271","107,659","107,659",562,"10,569",한국,한국,"트윈플러스파트너스(주),크랭크업필름(주)",트윈플러스파트너스(주),15세이상관람가,드라마,정주리,"김시은,조하민,배두나,박우영,이인영,박희은,김용준,심희섭,정수하,박윤희,최희진,유정호,문정웅,박서경,김우겸,김태웅,송요셉,나종민,허정도,박수영,권다함,황정민,한혜지,엄옥란,유재연,이종민,박건주,김우영,이승영,유용희,민재원,안소정,나예은,추은경,정수하,문성렬,문정웅"
28,올빼미,2022-11-23,"1,091,352,574",0.4%,"32,860,420,124","106,780","3,329,547",448,"6,999",한국,한국,"(주)씨제스엔터테인먼트,(주)영화사 담담",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,안태진,"류준열,유해진,최무성,조성하,박명훈,김성철,안은진,조윤서,김상욱,이주원,김예은,정석원,류성현,김승태,신문성,안성봉,문승배,김인권,김채원,김도원,양희명,강진휘,박희은,김샛별,김재현,류석호,손경원,송동환,강덕중,안세호,배용근,류지훈,조경현,신정원,황보정일,윤진영,윤준열,정동근,최돈학,서인혁,고한민,장태민,서문호,이동희,노정현,김설,손문영,김태준,안석현,권병철,고덕원,이정훈,김현정,장윤정,류진,남시훈,이태호,김현우,한수빈,한여름,설옥남,김수민,이정우,전민옥,전동현,권병철,황영윤,홍의정,이충식,전기수,최춘범,이수민,전기수"
29,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,"1,007,796,363",0.4%,"1,007,796,363","97,919","97,919",234,"7,522",미국,미국,,워터홀컴퍼니(주),15세이상관람가,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
30,방탄소년단: 옛 투 컴 인 시네마,2023-02-01,"2,035,659,000",0.7%,"2,035,659,000","92,539","92,539",120,"6,188",한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,씨제이 씨지브이(CJ CGV)(주)",전체관람가,공연,오윤동,"김남준,김석진,민윤기,정호석,박지민,김태형,전정국"
31,던전 앤 드래곤: 도적들의 명예,2023-03-29,"794,254,727",0.3%,"794,254,727","83,760","83,760","1,105","10,475",미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,"액션,어드벤처,판타지",,"크리스 파인,미셸 로드리게즈,레게-장 페이지,저스티스 스미스,소피아 릴리스,휴 그랜트"
32,샤잠! 신들의 분노,2023-03-15,"826,793,481",0.3%,"826,793,481","78,346","78,346",799,"13,913",미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처",데이비드 F. 샌드버그,"제커리 리바이,애셔 앤젤,아담 브로디,잭 딜런 그레이저,그레이스 펄튼,로즈 버틀러,이안 첸,매건 굿,페이스 허만,D.J. 코드로나,조반 아만드,헬렌 미렌,루시 리우,레이첼 지글러,디몬 하운수"
33,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,"708,846,095",0.3%,"4,126,165,171","75,109","431,892",491,"4,326",한국,한국,(주)씨제이이엔엠,(주)씨제이이엔엠,전체관람가,애니메이션,변영규,"김영은,김채하,신용우,조현정,양정화,강새봄,김명준,김현수,박성태,김율,강성우,유혜지,여민정,이달래,이우리,김동현,김윤기,황동현,채림,박이서"
34,젠틀맨,2022-12-28,"696,073,848",0.3%,"2,117,158,503","72,161","224,719",715,"6,779",한국,한국,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,범죄,김경원,"정혜자,주지훈,박성웅,최성은,강홍석,이달,박혜은,권한솔,이서환,박지훈,표영서,장천,임성재,이현균,한사명,곽민규,김난희,송광주,김귀선,한으뜸,오아연,한동희,김은민,최희진,김승비,이화정,이훈경,마웅규,최창욱,송방호,이윤재,임종화,홍석빈,조석인,배성일,박형준,이용석,김연진,서태왕,나경철,안예은,유병선"
35,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,2023-02-23,"509,114,000",0.2%,"509,114,000","57,178","57,178",284,"4,993",영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,액션,어드벤처",,"하성용,정재헌,엄상현,윤승희,김율,유동균,김정은,한경화,박성영,이재현"
36,라일 라일 크로커다일,2023-01-18,"502,081,439",0.2%,"502,081,439","54,192","54,192",384,"5,072",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"가족,뮤지컬,드라마","조쉬 고든,윌 스펙","하비에르 바르뎀,콘스탄스 우,스쿳 맥네이리,윈슬로우 페글리,숀 멘데스,브렛 겔맨"
37,더 웨일,2023-03-01,"515,392,293",0.2%,"515,392,293","52,318","52,318",203,"4,354",미국,미국,,(주)스튜디오디에이치엘,15세이상관람가,드라마,대런 아로노프스키,브렌든 프레이저
38,파벨만스,2023-03-22,"509,507,798",0.2%,"509,507,798","50,263","50,263",450,"5,978",미국,미국,,(주)씨제이이엔엠,12세이상관람가,드라마,스티븐 스필버그,"미쉘 윌리엄스,폴 다노,세스 로건,가브리엘 라벨"
39,애프터썬,2023-02-01,"454,238,083",0.2%,"454,238,083","46,543","46,543",64,"2,814",영국,영국,,"그린나래미디어(주),(주)영화사 안다미로",12세이상관람가,드라마,,폴 메스칼
40,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,"381,026,900",0.1%,"381,026,900","43,160","43,160",234,"2,774",벨기에,"벨기에,프랑스",,(주)스튜디오디에이치엘,전체관람가,애니메이션,벤 스타센,"박시윤,김용,김소희"
41,플레인,2023-03-15,"338,963,960",0.1%,"338,963,960","36,790","36,790",358,"5,350",미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,스릴러",장-프랑소와 리셰,"제라드 버틀러,마이크 콜터"
42,TAR 타르,2023-02-22,"360,919,047",0.1%,"360,919,047","35,994","35,994",197,"3,009",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,토드 필드,"케이트 블란쳇,노에미 멜랑,니나 호스"
43,몬스터 하우스2: 인비져블 피닉스,2023-02-02,"294,228,222",0.1%,"294,228,222","33,671","33,671",357,"3,069",러시아,러시아,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,어드벤처",데니스 체르노프,석승훈
44,네가 떨어뜨린 푸른 하늘,2023-02-08,"308,030,509",0.1%,"308,030,509","32,116","32,116",449,"5,370",일본,일본,,"메가박스중앙(주),(주)이놀미디어,(주)바이포엠스튜디오",12세이상관람가,"멜로/로맨스,SF",사이토 유키,"후쿠모토 리코,이타가키 미즈키"
45,똑똑똑,2023-03-08,"277,827,620",0.1%,"277,827,620","30,852","30,852",472,"6,222",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",M. 나이트 샤말란,"데이브 바티스타,조나단 그로프,루퍼트 그린트"
46,돌핀보이,2023-01-25,"226,353,600",0.1%,"226,353,600","25,387","25,387",177,"2,692",독일,독일,,와이드 릴리즈(주),전체관람가,"애니메이션,가족,어드벤처",,박시윤
47,천룡팔부: 교봉전,2023-01-25,"211,184,266",0.1%,"211,184,266","24,394","24,394",300,"3,441",홍콩,홍콩,,(주)팝엔터테인먼트,15세이상관람가,액션,견자단,"견자단,진옥기"
48,3000년의 기다림,2023-01-04,"224,395,015",0.1%,"235,737,015","23,963","24,731",176,"2,513",호주,호주,,(주)디스테이션,15세이상관람가,"멜로/로맨스,판타지,드라마",조지 밀러,"틸다 스윈튼,이드리스 엘바"
49,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,"211,318,100",0.1%,"1,951,750,500","23,359","216,703",115,"1,292",한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,김현지,홍소영,정미숙,김서영,김환진,이호산,엄상현"
50,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,"207,161,172",0.1%,"1,301,016,791","23,331","141,354",338,"1,898",기타,기타,,메가박스중앙(주),전체관람가,애니메이션,알렉세이 트시칠린,
51,미녀와 야수: 마법에 걸린 왕자,2023-02-22,"202,110,400",0.1%,"202,110,400","22,439","22,439",217,"2,042",러시아,러시아,,"(주)인터파크,예지림엔터테인먼트,(주)띵크",전체관람가,"애니메이션,판타지,어드벤처",,"박시윤,김용"
52,이니셰린의 밴시,2023-03-15,"207,451,193",0.1%,"207,451,193","20,327","20,327",135,"2,168",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"드라마,코미디",마틴 맥도나,"콜린 파렐,브렌단 글리슨,케리 콘든,배리 케오간"
53,모나리자와 블러드 문,2023-03-22,"176,026,561",0.1%,"176,026,561","19,836","19,836",369,"3,589",미국,미국,,판씨네마(주),15세이상관람가,"판타지,미스터리,스릴러",애나 릴리 아미푸르,"전종서,케이트 허드슨,에드 스크레인,에반 휘튼,크레이그 로빈슨"
54,극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,2023-02-02,"202,097,717",0.1%,"202,097,717","19,711","19,711",123,"2,753",일본,일본,,(주)애니플러스,15세이상관람가,"애니메이션,판타지,액션",키쿠치 야스히토,에구치 타쿠야
55,어쩌면 우린 헤어졌는지 모른다,2023-02-08,"186,249,566",0.1%,"186,249,566","18,336","18,336",333,"3,951",한국,한국,(주)26컴퍼니,(주)영화특별시에스엠씨,12세이상관람가,드라마,형슬우,"이동휘,정은채,강길우,정다은,옥지영,김종호,김소형,이재호,김태백,이가경,원진호,손예원,박세준,엄하늘,김휘규,안성민,김은선,임예은,김근배,이원욱,조한결,이건행,강슬기,이예주,기소유,안정빈,배소은,윤희진,형슬우,민경진,김금순,변중희,박세준,고규필,박성일,유지연,김정우"
56,탑건: 매버릭,2022-06-22,"202,479,519",0.1%,"88,057,840,494","18,296","8,195,742",58,"1,381",미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,액션,조셉 코신스키,"톰 크루즈,마일즈 텔러,제니퍼 코넬리,존 햄,에드 해리스,글렌 포웰,제이 엘리스,그렉 타잔 데이비스,찰스 파렐,장 루이자 켈리,대니 라미레즈"
57,프린스 챠밍,2023-01-11,"138,765,300",0.1%,"139,647,300","17,066","17,192",181,"1,613",미국,"미국,영국,캐나다",,와이드 릴리즈(주),전체관람가,"애니메이션,판타지",로스 베노커,"윌머 발더라마,데미 로바토,애슐리 티스데일,니아 발다로스"
58,오토라는 남자,2023-03-29,"128,901,133",0.0%,"128,901,133","14,337","14,337",371,"2,110",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,마크 포스터,톰 행크스
59,너의 이름은.,2017-01-04,"107,243,183",0.0%,"30,756,705,100","13,855","3,810,084",46,677,일본,일본,,플러스엠 엔터테인먼트,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
60,리바운드,2023-04-05,"112,819,000",0.0%,"112,819,000","12,455","12,455",21,58,한국,한국,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",(주)바른손이앤에이,12세이상관람가,드라마,장항준,"김영훈,안재홍,이신영,정진운,정건주,김민,안지호,이준혁,김회진,김수진,강애심,민무제,최정윤,배성일,강신철,유인혜,송창규,이상원,이태영,백도겸,오현수,서자영,정서인,전영,윤인조,김용현,조준기,양한열,송예슬,김희상,변진수,유순웅,박경관,장준혁,정승원,김정한,이진혁,박시환,이남우,김방선,이형석,이은주,김종은,노경,유인혁,정윤호,한주희,백재민,이순원,성도현,정대경,이준서,김서원,김병준,조윤담,현진호,이진한,안정빈,한대훈,나현우,박건우,장현성,박상면,박재민"
61,몬스터 신부: 101번째 프로포즈,2022-12-28,"107,392,600",0.0%,"297,877,600","12,390","33,428",211,"1,167",헝가리,"헝가리,러시아",,와이드 릴리즈(주),전체관람가,"애니메이션,코미디,판타지,어드벤처",,"황창영,박시윤,최정현"
62,우리 사랑이 향기로 남을 때,2023-02-08,"115,424,800",0.0%,"115,424,800","12,364","12,364",173,"2,732",한국,한국,"(주)도깨비미디어,주식회사 콘텐츠존","주식회사 콘텐츠존,(주)다자인소프트",15세이상관람가,"멜로/로맨스,코미디,드라마",임성용,"윤시윤,최훈재,설인아,문지인,김영웅,노상현,이규복,김수미,양혜진,김찬미,이동찬,최윤빈,윤다훈"
63,시간을 꿈꾸는 소녀,2023-01-11,"85,564,894",0.0%,"85,564,894","11,011","11,011",77,954,한국,한국,(주)하이하버픽쳐스,"(주)하이하버픽쳐스,(주)영화사 진진",12세이상관람가,다큐멘터리,박혁지,"권수진,이경원,조경아"
64,트윈,2023-02-08,"92,120,242",0.0%,"92,120,242","10,576","10,576",168,"1,385",핀란드,핀란드,,(주)스튜디오디에이치엘,15세이상관람가,공포(호러),타넬리 무스토넨,"테레사 팔머,스티브 크리,트리스탄 루게리"
65,원피스 필름 레드,2022-11-30,"99,699,354",0.0%,"2,159,957,722","10,276","202,979",34,"1,071",일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,타니구치 고로,
66,성스러운 거미,2023-02-08,"95,683,542",0.0%,"97,456,542","10,143","10,311",56,"1,016",덴마크,"덴마크,독일,스웨덴,프랑스",,판씨네마(주),청소년관람불가,"범죄,스릴러",알리 아바시,"자흐라 아미르 에브라히미,메흐디 바제스타니"
67,탄생,2022-11-30,"87,958,596",0.0%,"3,115,921,037","9,906","345,844",53,445,한국,한국,"민영화사,가톨릭문화원 ALMA ART","씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",12세이상관람가,드라마,박흥식,"윤시윤,안성기,윤경호,이문식,이호원,이경영,신정근,송지연,하경,김광규,임현수,김승훈,박지훈,성혁,백지원,최무성,차청화,남다름,이준혁,강말금,김강우,정유미,강덕중,송길호,정준환,송훈,한창현,이문빈,고봉구,김동현,이승훈,조재룡,최윤우,한바다,김용태,이경훈,최로운,최민주,김형도,김나운,나기수,강두,박주연,장민영,김여준,공현지,이용이,김대종,이호영,이용헌,오현진,김성수,김재훈,신성용,고해성,전운종,김기현,김주헌,장용원,황수진,양정인,윤지애"
68,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,"84,149,297",0.0%,"464,874,418","9,430","50,204",124,658,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,김수경,"조경이,이소은,김새해,송하림,김채하,정혜원,여민정,황창영"
69,꼬마돼지 베이브의 바다 대모험,2023-03-23,"80,706,916",0.0%,"80,706,916","9,380","9,380",319,"1,173",중국,중국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처,가족",종위,
70,에브리씽 에브리웨어 올 앳 원스,2022-10-12,"83,528,059",0.0%,"3,870,754,829","8,998","365,046",22,609,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
71,해피 투게더,1998-08-22,"82,380,986",0.0%,"436,614,106","8,721","47,222",140,513,홍콩,홍콩,,(주)디스테이션,"15세이상관람가,18세 미만인 자는 관람할 수 없는 등급","드라마,멜로/로맨스",왕가위,"장국영,양조위,장첸"
72,극장판 파워레인저 캡틴포스: 지구를 위한 싸움,2023-01-19,"82,651,478",0.0%,"82,651,478","8,700","8,700",147,"1,095",일본,일본,,트윈플러스파트너스(주),전체관람가,"액션,어드벤처",나카자와 쇼지로,오자와 료타
73,6번 칸,2023-03-08,"77,035,984",0.0%,"77,035,984","8,184","8,184",41,700,독일,"독일,핀란드,러시아,에스토니아",,"(주)싸이더스,스튜디오 에이드",15세이상관람가,"드라마,멜로/로맨스",유호 쿠오스마넨,"세이디 하를라,유리 보리소프"
74,엄마의 땅: 그리샤와 숲의 주인,2023-01-25,"71,335,389",0.0%,"71,967,389","7,718","7,798",121,867,한국,한국,한국영화아카데미,(주)더쿱디스트리뷰션,전체관람가,애니메이션,박재범,"이윤지,김서영,이용녀,김예은,강길우,이관목,송철호,이용녀"
75,문맨,2023-01-11,"58,867,108",0.0%,"58,867,108","7,539","7,539",134,883,중국,중국,,(주)스튜디오디에이치엘,12세이상관람가,"드라마,코미디,판타지",장츠위,"선텅,마리"
76,뮤지컬 레드북,2023-01-25,"141,349,500",0.1%,"141,349,500","7,296","7,296",35,403,한국,한국,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),15세이상관람가,뮤지컬,곽기영,
77,웃는남자 감독판,2019-11-29,"145,395,500",0.1%,"317,868,500","7,270","20,368",8,79,한국,한국,(주)디지컴코리아엠앤엠,(주)디지컴코리아엠앤엠,전체관람가,공연,김수기,"박강현,양준모,민경아,신영숙,조휘,이상준,김나윤,박준우,백승호"
78,그대 어이가리,2023-03-08,"61,915,194",0.0%,"61,915,194","7,090","7,090",82,878,한국,한국,(주)영화사 순수,(주)영화사 순수,12세이상관람가,드라마,이창열,"선동혁,정아미,박종진"
79,페르시아어 수업,2022-12-15,"62,646,074",0.0%,"161,450,667","6,943","17,490",21,559,러시아,러시아,,(주)영화사 진진,15세이상관람가,드라마,바딤 피얼먼,"나우엘 페레즈 비스카야트,라르스 아이딩어"
80,크리드 3,2023-03-01,"62,865,600",0.0%,"62,865,600","6,366","6,366",156,"1,960",미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,드라마",마이클 B. 조던,"마이클 B. 조던,테사 톰슨"
81,틸,2023-03-22,"53,725,200",0.0%,"53,725,200","6,060","6,060",122,"1,108",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,치노늬 추크우,"다니엘 데드와일러,제일린 홀,헤일리 베넷,우피 골드버그"
