순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
807,노출광 며느리 아야네,2023-01-13,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,농익은 유부녀 섹스 맛집,2023-03-21,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),사다오카 사다오,
807,다 받아주는 새엄마,2023-01-14,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",카토 스케로쿠,
807,다 받아주는 새엄마 마지막 한 방울까지,2023-02-18,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",츠지 코지,
807,다른 남자에게 길들여진 아내,2023-02-11,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영화사 사계절,청소년관람불가,성인물(에로),,
807,달콤한 새엄마 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,대물 남자 도우미,2023-03-14,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,영화사 레드카펫,주식회사 루믹스미디어,청소년관람불가,성인물(에로),이선이,
807,대물 사장에 길들여진 여비서,2023-03-07,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),나가에,
807,대박나는 마사지샵의 영업비밀2,2023-02-08,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,영화사 레드카펫,주식회사 루믹스미디어,청소년관람불가,성인물(에로),김소라,
807,댄서의 순정,2005-04-28,"1,000",0.0%,"11,674,139,000",1,"1,856,762",1,1,한국,한국,(주)컬처캡미디어,쇼이스트(주),12세관람가,드라마,박영훈,"박건형,김은경,문근영,김지영,임진승,최진석,박현규,김병일,류지원,이혜정,김인희,이정희,이대연,우기홍,정인기"
807,댄스 교습소에서 생긴 일,2023-03-31,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",윤준세,
807,더럽혀진 제수씨,2023-03-23,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",사쿠라비토,
807,동정뺏은 아랫도리 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,하츠미 사키
807,동창회의 목적:불타는 하룻밤,2023-01-07,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",히데키,
807,두 남자에게 당하는 예쁜 유부녀,2023-02-05,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영화사 사계절,청소년관람불가,성인물(에로),,
807,땀샘터진 아내의 엄마,2023-03-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,성인물(에로),버드맨 텟페이,
807,땀에 젖은 새엄마 무삭제판,2023-01-25,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,미즈키 나오
807,떡정 길들여진 여자들,2023-03-22,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,파랑새미디어,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이타치,
807,마사지에 빠진 예비신부,2023-02-17,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,"성인물(에로),드라마",리차드 킴,조완진
807,맛 : 여자 알바생들 무삭제,2023-01-17,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),유해종,
807,맛가버린 맛사지 무삭제판,2023-03-03,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,호조 마키
807,맛난 첫사랑,2023-03-15,"1,000",0.0%,"1,000",1,1,1,1,일본,일본,,(주)픽쳐레스크,청소년관람불가,성인물(에로),아사기리 키요시,키지마 아이리
807,맛있는 새엄마2 무삭제판,2023-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,혼다 리코
807,맛있는 여상사의 핫바디,2023-03-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",코엔지 고로,
807,매력적인 장모님 2 무삭제,2023-01-02,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",김환,
807,먹고 싶은 친구아내 무삭제,2023-03-27,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),한승민,
807,먼저맛본 옆집엄마,2023-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,메타 섹스,2023-01-12,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,선셋 시네마,선셋 시네마,청소년관람불가,성인물(에로),신성진,
807,며느리 칸나:남편이 출장간 밤,2023-01-14,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,며느리는 성욕보호사,2023-03-23,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,며느리를 보내는 방법,2023-03-23,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",사쿠라비토,
807,모델지망생들 방과후 특별수업,2023-01-18,"1,000",0.0%,"1,000",1,1,1,1,한국,한국,영화사 레드카펫,주식회사 루믹스미디어,청소년관람불가,"성인물(에로),멜로/로맨스",이성민,
807,모든 것을 알려주는 사람,2023-02-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),드래곤 니시카와,
807,몸부림에 채워진 성욕 무삭제판,2023-01-31,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",모소조쿠,
807,몸빵녀 무삭제,2023-02-27,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",최찬호,
807,몸으로 영업하는 50대 육덕 아줌마,2023-03-21,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),카니에,
807,못말리는 결혼,2007-05-10,"1,000",0.0%,"7,712,340,500",1,"1,188,327",1,1,한국,한국,"(주)컬처캡미디어,엠넷미디어",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,김성욱,"김수미,김애경,유진,하석진,임채무,윤다훈,김경욱,최기석,박경희,이화순,김재혁,성은,장소연,임채무,전국향,이정민"
807,무방비 형수,2023-03-23,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)가온콘텐츠,청소년관람불가,"성인물(에로),멜로/로맨스",사쿠라비토,이마이 카호
807,무토 아야카의 섹스일기,2023-02-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",버드맨 텟페이,
807,물오른 형수 촉촉해진 날,2023-03-24,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",히무 롯쿠,
807,물터진 리나:남편보다 죽여줘,2023-01-14,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,물터진 마사지:유부녀 유리아,2023-03-08,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",야스지로 시도,
807,미대생 유메:끈적이는 누드수업,2023-03-08,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",디렉터 O,
807,미오의 섹스일기,2023-03-12,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",버드맨 텟페이,
807,미용실 : 특별한 서비스 6,2023-01-11,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",신승엽,
807,미용실 : 특별한 서비스 6 무삭제,2023-03-21,"6,000",0.0%,"6,000",1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),신승엽,
807,민감해 반응 잘하는 착한 며느리,2023-02-17,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,밀애 : 깊숙이 넣어달라는 친구여친,2023-02-19,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영화사 사계절,청소년관람불가,성인물(에로),아사기리 조,
807,바디체인지,2023-01-13,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이시다 마모루,
807,바람피기 좋은 날:임신시켜줘,2023-01-07,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",히데키,
807,반응 잘하는 며느리의 섹스기록,2023-02-18,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
807,발정난 미츠키 한번만 더 해줘,2023-03-11,"6,000",0.0%,"6,000",1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",사쿠라비토,
